#           X                Y                 Ex                Ey                Ez                E 
      0.3482000000     10.9683000000     -0.1451073946     -0.2214537669      0.0000000000      0.2647601307
      0.3482000000     11.1424000000     -0.1414488091     -0.2439677815      0.0000000000      0.2820071701
      0.3482000000     11.3165000000     -0.1374836773     -0.2679520723      0.0000000000      0.3011645307
      0.3482000000     11.4906000000     -0.1331945351     -0.2936162442      0.0000000000      0.3224147686
      0.3482000000     11.6647000000     -0.1285586399     -0.3211997951      0.0000000000      0.3459720108
      0.3482000000     11.8388000000     -0.1235467223     -0.3509778048      0.0000000000      0.3720876403
      0.3482000000     12.0129000000     -0.1181214352     -0.3832678891      0.0000000000      0.4010572880
      0.3482000000     12.1870000000     -0.1122354040     -0.4184387609      0.0000000000      0.4332294802
      0.3482000000     12.3611000000     -0.1058287513     -0.4569208459      0.0000000000      0.4690164006
      0.3482000000     12.5352000000     -0.0988259211     -0.4992195411      0.0000000000      0.5089073717
      0.3482000000     12.7093000000     -0.0911315617     -0.5459318986      0.0000000000      0.5534858620
      0.3482000000     12.8834000000     -0.0826251304     -0.5977677861      0.0000000000      0.6034511068
      0.3482000000     13.0575000000     -0.0731537482     -0.6555769487     -0.0000000000      0.6596458190
      0.3482000000     13.2316000000     -0.0625226264     -0.7203839217      0.0000000000      0.7230920228
      0.3482000000     13.4057000000     -0.0504820908     -0.7934335005      0.0000000000      0.7950378363
      0.3482000000     13.5798000000     -0.0367097741     -0.8762505559      0.0000000000      0.8770191812
      0.3482000000     13.7539000000     -0.0207858479     -0.9707195807      0.0000000000      0.9709420971
      0.3482000000     13.9280000000     -0.0021580846     -1.0791917197      0.0000000000      1.0791938774
      0.3482000000     14.1021000000      0.0199081960     -1.2046306130      0.0000000000      1.2047951071
      0.3482000000     14.2762000000      0.0464030442     -1.3508138791      0.0000000000      1.3516106609
      0.3482000000     14.4503000000      0.0786800684     -1.5226156525     -0.0000000000      1.5246471652
      0.3482000000     14.6244000000      0.1186202164     -1.7264092960      0.0000000000      1.7304796482
      0.3482000000     14.7985000000      0.1688852876     -1.9706517180      0.0000000000      1.9778752321
      0.3482000000     14.9726000000      0.2333201244     -2.2667478816      0.0000000000      2.2787242569
      0.3482000000     15.1467000000      0.3176084646     -2.6303574833      0.0000000000      2.6494632714
      0.3482000000     15.3208000000      0.4303759053     -3.0834166987      0.0000000000      3.1133072379
      0.3482000000     15.4949000000      0.5851103564     -3.6573471637      0.0000000000      3.7038550734
      0.3482000000     15.6690000000      0.8036401520     -4.3982918302      0.0000000000      4.4711081979
      0.3482000000     15.8431000000      1.1227220546     -5.3759109369      0.0000000000      5.4918961401
      0.3482000000     16.0172000000      1.6071755911     -6.6985992305      0.0000000000      6.8887041620
      0.3482000000     16.1913000000      2.3776453794     -8.5404980807      0.0000000000      8.8652865163
      0.3482000000     16.3654000000      3.6732893601    -11.1899982633      0.0000000000     11.7774834262
      0.3482000000     16.5395000000      6.0038754838    -15.1336991253      0.0000000000     16.2811354039
